,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,is_holiday,is_leacture_free
2022-10-28,93.0,1.2,1.26,1.26,0.0,0.07,0.07,0.8113207547169812,0.986341463414634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5432566276749694,0.7144996175439976,0.5840961008658526,0.5170600469043755,0.5870964473196284,0.9457533029238842,0.255159436251122,-0.8633909238803077,-0.7290787242153892,-0.8473801608091946,-0.489705929329721,-0.1905825430599761,0.0,0.0
2022-10-29,0.0,1.2,1.26,1.26,0.0,0.07,0.07,0.8113207547169812,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5066386266330379,0.7271682568241677,0.5548626038380541,0.6062329097203073,0.6428552282882914,0.8024943789942441,0.4549511933277534,-0.5640295190025489,-0.5914964520712552,-0.2134219218123419,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-10-30,0.0,1.2,1.26,1.26,0.0,0.07,0.07,0.8113207547169812,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6361834416398704,0.7439708731326045,0.6651188895824918,0.7878212849091135,0.84085579744232,0.5541789108495616,-0.003107957043058,-0.918375671714998,-0.5984528590897789,-0.6650918492765532,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-10-31,146.0,1.2195121951219512,1.745384615384615,1.26,0.0,0.07,0.07,0.8301886792452831,0.986341463414634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4864872109653084,0.6222852589941266,0.5283001877569584,0.4976041495627177,0.5882343816251111,0.4300211767772139,0.1771919212943893,-0.5941552620690651,-1.3342861348269457,-0.4848289634276079,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-01,0.0,1.2195121951219512,1.745384615384615,1.26,0.0,0.07,0.07,0.8301886792452831,0.986341463414634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1908371553830484,0.4904647334315126,0.2490238354406304,0.3533062442787554,0.0738880755468295,0.3870434995983258,0.97635894960091,0.6633311740430681,0.3746711893903605,0.420536317184511,-0.5240005464294599,-0.1905825430599761,1.0,0.0
2022-11-02,160.0,1.217910447761194,1.26,1.05,0.0010447761194029,0.07,0.07,0.8301886792452831,0.986341463414634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2546242818204459,-0.0984936389987196,-0.2422077364427294,-0.5351797343236185,-0.2344921212390429,0.8980003282806664,0.6547429504043831,0.9437323210467956,0.5168910662135101,0.7830875145660976,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-03,164.0,1.2081632653061225,1.3745454545454547,1.26,0.0,0.07,0.07,0.8301886792452831,0.986341463414634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4059902012217626,-0.2061103958313241,-0.4288866159400408,-0.6259739219180217,-0.2970785080406036,-0.1668910062628898,0.9373751921225436,0.4983769305389969,-1.014291411974858,-0.122277766046021,-0.5544846505181167,-0.1905825430599761,0.0,0.0
2022-11-04,117.0,1.2382978723404254,1.26,1.26,0.0014893617021276,0.07,0.07,0.8301886792452831,0.986341463414634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3024695001629693,-0.0928927668959075,-0.3190755103533869,0.0663317584893026,-0.621389785103237,-0.8640844360537455,0.8642806468506057,0.0313225782420293,1.23803859380046,0.6007992030334566,0.1752285911041047,-0.1905825430599761,0.0,0.0
2022-11-05,0.0,1.2382978723404254,1.26,1.26,0.0014893617021276,0.07,0.07,0.8301886792452831,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4683444388450513,-0.25711833819622,-0.4803791208570256,-0.1752456335029487,-0.5701827413565054,0.2819869553832704,0.995850828340094,-0.2079980100346305,1.1653827871625462,-0.6650918492765532,-0.5182847769128367,-0.1905825430599761,0.0,0.0
2022-11-06,0.0,1.2382978723404254,1.26,1.26,0.0014893617021276,0.07,0.07,0.8301886792452831,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7198341063783155,-0.5842359398199855,-0.7400180817688932,-0.5481503325513905,-0.7067348580144562,0.2724363604546242,0.8155509500026465,-0.0063872679740991,-0.3171048418961566,0.3293921614181901,-0.5163795204072957,-0.1905825430599761,0.0,0.0
