,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September
2022-03-05,0.0,1.065979381443299,1.17,1.17,0.0014432989690721652,0.07,0.07,0.16981132075471697,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-06,0.0,1.065979381443299,1.17,1.17,0.0014432989690721652,0.07,0.07,0.16981132075471697,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-07,99.0,1.088421052631579,1.17,1.17,0.0014736842105263158,0.07,0.07,0.18867924528301888,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-08,94.0,1.1258823529411766,1.17,1.17,0.0016470588235294118,0.07,0.07,0.18867924528301888,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-09,95.0,1.1,1.17,1.17,0.0016279069767441861,0.07,0.07,0.18867924528301888,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-10,75.0,1.0661538461538462,1.17,1.17,0.002153846153846154,0.07,0.07,0.18867924528301888,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,69.0,1.0833333333333333,1.17,1.17,0.0021212121212121214,0.07,0.07,0.18867924528301888,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-12,0.0,1.0833333333333333,1.17,1.17,0.0021212121212121214,0.07,0.07,0.18867924528301888,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-13,0.0,1.0833333333333333,1.17,1.17,0.0021212121212121214,0.07,0.07,0.18867924528301888,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-14,75.0,1.065625,1.287,1.17,0.0021875,0.07,0.07,0.20754716981132076,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-15,56.0,1.034,1.5599999999999998,1.17,0.0,0.07,0.07,0.20754716981132076,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-16,75.0,1.0514705882352942,1.17,1.17,0.0,0.07,0.07,0.20754716981132076,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-17,69.0,1.11864406779661,1.31625,1.17,0.0,0.07,0.07,0.20754716981132076,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-18,51.0,1.1,0.7799999999999999,1.17,0.0,0.07,0.07,0.20754716981132076,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-19,0.0,1.1,0.7799999999999999,1.17,0.0,0.07,0.07,0.20754716981132076,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-20,0.0,1.1,0.7799999999999999,1.17,0.0,0.07,0.07,0.20754716981132076,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-21,102.0,1.1375000000000002,1.17,1.17,0.0,0.07,0.07,0.22641509433962265,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-22,104.0,1.1,1.26,1.17,0.0015730337078651688,0.07,0.07,0.22641509433962265,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-23,78.0,1.1,1.17,1.17,0.0,0.07,0.07,0.22641509433962265,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-24,96.0,1.1564102564102565,1.17,1.17,0.0,0.07,0.07,0.22641509433962265,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-25,59.0,1.08,1.17,1.17,0.0025454545454545456,0.07,0.07,0.22641509433962265,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-26,0.0,1.08,1.17,1.17,0.0025454545454545456,0.07,0.07,0.22641509433962265,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-27,0.0,1.08,1.17,1.17,0.0025454545454545456,0.07,0.07,0.22641509433962265,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-28,68.0,1.1550000000000002,1.17,0.38999999999999996,0.0,0.07,0.07,0.24528301886792453,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-29,86.0,1.1146666666666667,1.17,0.38999999999999996,0.0,0.07,0.07,0.24528301886792453,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
